S error acc steps
0.3393256629275249 4.4228912958962186E-4 49.58133333333333 10000
0.3423689725977559 2.8941063165036427E-4 49.57533333333333 9900
0.3457352922850127 2.0329024980149122E-4 49.727333333333334 9800
0.3496239388736478 4.114423781805647E-4 49.74733333333333 9700
0.35410290849807546 5.529026881517384E-4 49.592 9600
0.3571592234495766 6.723756955736924E-4 49.58533333333333 9500
0.35978700596708996 7.788724787792009E-4 49.432 9400
0.36400248344770847 8.778996512852883E-4 49.472 9300
0.36864983957416736 9.74358721985492E-4 49.76866666666667 9200
0.37229734026854483 0.0010635370879145676 49.52733333333333 9100
0.37676360846940327 0.0011537550284153467 49.33133333333333 9000
0.3809951065152311 0.0012466875399369634 49.654 8900
0.38554643323192256 0.0013298001347690639 49.60066666666667 8800
0.38987732699548183 0.0014168734644864648 49.635333333333335 8700
0.3937671927863567 0.0015030352048708594 49.74666666666667 8600
0.4001302009343062 0.0015959227562004185 49.74 8500
0.40442856518119175 0.0016833535889093493 49.67 8400
0.40846862785779764 0.0017692818241221914 49.654 8300
0.4134091387722837 0.0018596407350236846 49.537333333333336 8200
0.4196163238385891 0.0019552355316869714 49.732 8100
0.42485844184501614 0.0020487502422572236 49.78 8000
0.42875754496343293 0.002138367816651716 49.55 7900
0.43553853491510686 0.002240041043782622 49.78066666666667 7800
0.44102226175090586 0.002340326707503618 49.92333333333333 7700
0.4466446843174133 0.002440615904194448 49.83 7600
0.45230832465163245 0.002543330197898701 49.776 7500
0.4578448699265825 0.0026459384899713556 49.39266666666666 7400
0.46538610962177956 0.0027640835374160184 49.658 7300
0.4708432844997551 0.002869359637789435 49.467333333333336 7200
0.4781922290817179 0.0029917475143139065 49.81933333333333 7100
0.4858675142896402 0.0031155970509749342 49.81466666666667 7000
0.4916882487992612 0.0032319706641749874 49.67466666666667 6900
0.4982158482715572 0.0033546766033200237 49.67066666666667 6800
0.5064880343805921 0.003491724159869322 49.470666666666666 6700
0.5130726785451217 0.0036206522823025015 49.727333333333334 6600
0.5224138792862516 0.003771447323747959 49.75333333333333 6500
0.5298223681001428 0.00391102608038453 49.42333333333333 6400
0.5385894821968884 0.00406688605612263 49.64333333333333 6300
0.5479714550117681 0.004228922617495761 49.75933333333333 6200
0.5577579754069396 0.004397786696839641 49.711333333333336 6100
0.5655334195133559 0.00455717489529626 49.638 6000
0.5750095039796256 0.004732354039353296 49.529333333333334 5900
0.585260743768288 0.004919542121615475 49.715333333333334 5800
0.5947683840773068 0.00510628860638179 49.553333333333335 5700
0.6052403084602533 0.005305978403065482 49.43533333333333 5600
0.6175620327091672 0.005526966051367787 49.693333333333335 5500
0.6284293101201129 0.005740994169651789 49.46333333333333 5400
0.639665264178811 0.005965303599114621 49.51133333333333 5300
0.6532258216837188 0.006215577106908544 50.034666666666666 5200
0.6652498187108583 0.006462809753321428 49.808 5100
0.6794420322121861 0.00673511677086041 49.73 5000
0.6938552875003362 0.007020243677123609 49.856 4900
0.7061936692539968 0.007291576432196209 49.43266666666667 4800
0.7209523899699064 0.007597329010866438 49.88733333333333 4700
0.7369327428954958 0.00792528480972742 49.550666666666665 4600
0.7542175390444757 0.008279094812770385 49.748666666666665 4500
0.7708946138623151 0.008638915652462007 49.59733333333333 4400
0.7878658867151735 0.00901328834909787 49.62533333333333 4300
0.8079080718812875 0.009434172346338176 49.416 4200
0.8266147684635473 0.009856194039974437 49.577333333333335 4100
0.8488244325583623 0.010335214868810874 49.51733333333333 4000
0.8699238320220308 0.01081959877240149 49.58533333333333 3900
0.8924533153304322 0.01134081865009022 49.708 3800
0.9171873315760878 0.011907639116511397 49.704 3700
0.9424150901305293 0.012504048196129582 49.72933333333334 3600
0.9668646823601441 0.013115327265378389 49.45733333333333 3500
0.9972196840079486 0.013831659091913895 49.49666666666667 3400
1.0279408179439171 0.014584447541969147 49.638 3300
1.0587952312110098 0.015372592779424137 49.488 3200
1.0952691707072533 0.016276850188987356 49.717333333333336 3100
1.129839020414662 0.017195639824300037 49.458666666666666 3000
1.1712293871263417 0.018260659172212104 49.604 2900
1.2143666743970492 0.019407236509455687 49.72533333333333 2800
1.2545094884717807 0.0205621102932409 49.614 2700
1.3056443347919597 0.02196000020554915 49.90133333333333 2600
1.3565814015916053 0.023428362045562902 49.73733333333333 2500
1.4153992598453777 0.02511701390188044 49.692 2400
1.4751071338711714 0.026921753343342812 49.58733333333333 2300
1.5434468953648812 0.028992231501734973 49.638 2200
1.6206240535325491 0.03136077656176187 49.980666666666664 2100
1.6958930758427988 0.033845197547609264 49.72266666666667 2000
1.7848446609392006 0.03677798115411245 49.618 1900
1.887129659711379 0.04020104139287019 49.443333333333335 1800
1.9995243739944857 0.044102968918072215 49.73266666666667 1700
2.123278234514116 0.04856997861322199 49.666666666666664 1600
2.262297278664365 0.0537719757358771 49.528666666666666 1500
2.4256467991128465 0.06003361075438329 49.74333333333333 1400
2.6110457343695503 0.06746032059580957 49.54666666666667 1300
2.832252471187962 0.0766072551448955 49.75 1200
3.088570622118613 0.08775922126304286 49.836666666666666 1100
3.3865022554300315 0.10149891258519528 49.343333333333334 1000
3.7704853199408115 0.1197911826194519 49.858 900
4.240539471043136 0.14369676111496918 49.538 800
4.850881910519934 0.1766947783724544 49.454 700
5.66814744919234 0.22422762106759525 49.76866666666667 600
6.787555221530976 0.2957278591778923 49.564 500
8.479877467968512 0.41527876881229125 49.796 400
11.286986296917805 0.6416406687869485 49.43333333333333 300
16.955423363009555 1.1866743755586413 49.85933333333333 200
33.93448491424486 3.3761429798177507 49.63133333333333 100
