x y phi
0.03 0.08 1.2598242234070451
0.03 0.1 1.6168691757474414
0.03 0.12 1.9686760448736722
0.03 0.14 2.3130120564615155
0.03 0.16 2.6482927940399286
0.03 0.18 2.9731389133577935
0.03 0.2 3.2862551845705967
0.03 0.22 3.586402914926905
0.03 0.24 3.872396918512165
0.03 0.26 4.143108374199517
0.03 0.28 4.397468880533131
0.03 0.3 4.634474587472306
0.03 0.32 4.8531901407424884
0.03 0.34 5.052752369782711
0.03 0.36 5.232373693610349
0.03 0.38 5.391345228914891
0.03 0.4 5.5290395876725
0.03 0.42 5.644913353155522
0.03 0.44 5.738509224549249
0.03 0.46 5.8094578217091675
0.03 0.48 5.857479142935618
0.03 0.5 5.882383670012574
0.03 0.52 5.884073116149461
0.03 0.54 5.862540813874208
0.03 0.56 5.817871741346723
0.03 0.58 5.750242186988916
0.03 0.6 5.65991905375483
0.03 0.62 5.547258805786628
0.03 0.64 5.412706061613467
0.03 0.66 5.2567918394453
0.03 0.68 5.080131461486587
0.03 0.7000000000000001 4.883422125540687
0.03 0.72 4.667440153488628
0.03 0.74 4.433037927501323
0.03 0.76 4.181140526076554
0.03 0.78 3.912742073176768
0.03 0.8 3.6289018148759706
0.03 0.8200000000000001 3.330739938999396
0.03 0.84 3.0194331542539254
0.03 0.86 2.6962100462964074
0.03 0.88 2.3623462290673594
0.03 0.9 2.0191593105255135
0.03 0.92 1.66800280751576
0.03 0.9400000000000001 1.3102046748648082
0.03 0.96 0.945698247673402
0.03 0.98 0.5565243096696035
0.03 1.0 1.1524944467867478E-17
0.04 0.0 0.0
0.04 0.02 0.37077006314571603
0.04 0.04 0.8711499378265727
0.04 0.06 1.4294239962231197
0.04 0.08 2.0053697992576427
0.04 0.1 2.581077462062483
0.04 0.12 3.14887158857386
0.04 0.14 3.704858296583928
0.04 0.16 4.246381797892408
0.04 0.18 4.771185000577516
0.04 0.2 5.277167341809956
0.04 0.22 5.762325073696137
0.04 0.24 6.224741961456517
0.04 0.26 6.662592724058893
0.04 0.28 7.074149294786675
0.04 0.3 7.45778743363742
0.04 0.32 7.811993093308943
0.04 0.34 8.135368385331171
0.04 0.36 8.426637095057051
0.04 0.38 8.684649717937502
0.04 0.4 8.908387996021114
0.04 0.42 9.096968936539916
0.04 0.44 9.249648296676007
0.04 0.46 9.365823520747465
0.04 0.48 9.44503611822029
0.04 0.5 9.486973473161054
0.04 0.52 9.491470077989154
0.04 0.54 9.458508186659643
0.04 0.56 9.388217884698737
0.04 0.58 9.280876575815693
0.04 0.6 9.136907887117095
0.04 0.62 8.956879997244197
0.04 0.64 8.74150339403141
0.04 0.66 8.491628070535405
0.04 0.68 8.20824017050084
0.04 0.7000000000000001 7.8924580965015405
0.04 0.72 7.54552809611647
0.04 0.74 7.1688193435599095
0.04 0.76 6.763818536176343
0.04 0.78 6.332124027125243
0.04 0.8 5.875439517411374
0.04 0.8200000000000001 5.395567332155268
0.04 0.84 4.894401307639385
0.04 0.86 4.373919317201512
0.04 0.88 3.8361754654723033
0.04 0.9 3.2832919817627366
0.04 0.92 2.7174489034938376
0.04 0.9400000000000001 2.1407635554754743
0.04 0.96 1.5527489191078727
0.04 0.98 0.9212231533052622
0.04 1.0 1.5348894331131283E-17
0.05 0.0 0.0
0.05 0.02 0.5253860956436665
0.05 0.04 1.2445115766360995
0.05 0.06 2.053994667462402
0.05 0.08 2.893065773833502
0.05 0.1 3.73363835893248
0.05 0.12 4.563455528864906
0.05 0.14 5.376390843730304
0.05 0.16 6.168406999405861
0.05 0.18 6.936154245104259
0.05 0.2 7.6765455974288255
0.05 0.22 8.386645254025451
0.05 0.24 9.06364756815558
0.05 0.26 9.704880002975058
0.05 0.28 10.307811751375315
0.05 0.3 10.870063284404278
0.05 0.32 11.389415645391903
0.05 0.34 11.863819186485827
0.05 0.36 12.291401653377504
0.05 0.38 12.670475573362559
0.05 0.4 12.999544914851459
0.05 0.42 13.277310991489
0.05 0.44 13.50267758746961
0.05 0.46 13.674755283799094
0.05 0.48 13.792864968424855
0.05 0.5 13.856540516380853
0.05 0.52 13.865530629369896
0.05 0.54 13.819799827523209
0.05 0.56 13.71952858942326
0.05 0.58 13.565112639837267
0.05 0.6 13.357161387972297
0.05 0.62 13.096495522415582
0.05 0.64 12.784143772251563
0.05 0.66 12.4213388471382
0.05 0.68 12.009512572365107
0.05 0.7000000000000001 11.55029023809329
0.05 0.72 11.045484185077388
0.05 0.74 10.497086652184706
0.05 0.76 9.907261913938573
0.05 0.78 9.278337739115555
0.05 0.8 8.612796204105553
0.05 0.8200000000000001 7.913263897290248
0.05 0.84 7.182501553098725
0.05 0.86 6.4233931566499525
0.05 0.88 5.638934561981075
0.05 0.9 4.832221668780208
0.05 0.92 4.006434649276054
0.05 0.9400000000000001 3.1646333158333575
0.05 0.96 2.3056087392087417
0.05 0.98 1.3780984072042997
0.05 1.0 1.9157696688784726E-17
0.06 0.0 0.0
0.06 0.02 0.6968573843344794
0.06 0.04 1.6627249446531642
0.06 0.06 2.75876794759153
0.06 0.08 3.899953637059252
0.06 0.1 5.045645706705821
0.06 0.12 6.177775479795555
0.06 0.14 7.287388839399137
0.06 0.16 8.368753793103409
0.06 0.18 9.417223805365726
0.06 0.2 10.428561160379992
0.06 0.22 11.398749540591979
0.06 0.24 12.32395404853219
0.06 0.26 13.20052193612902
0.06 0.28 14.024993479825506
0.06 0.3 14.794114799639821
0.06 0.32 15.504850510823536
0.06 0.34 16.15439566127766
0.06 0.36 16.74018679244515
0.06 0.38 17.259912054235286
0.06 0.4 17.711520328456572
0.06 0.42 18.09322932356642
0.06 0.44 18.403532608546538
0.06 0.46 18.64120555809505
0.06 0.48 18.8053101856625
0.06 0.5 18.89519884525614
0.06 0.52 18.91051678740278
0.06 0.54 18.851203559182878
0.06 0.56 18.717493242810566
0.06 0.58 18.509913531818142
0.06 0.6 18.22928364849074
0.06 0.62 17.876711110770255
0.06 0.64 17.453587361388
0.06 0.66 16.961582276475937
0.06 0.68 16.402637575328466
0.06 0.7000000000000001 15.778959157323479
0.06 0.72 15.093008396245269
0.06 0.74 14.347492426366717
0.06 0.76 13.54535345862709
0.06 0.78 12.689757169069619
0.06 0.8 11.784080205364425
0.06 0.8200000000000001 10.831896860722802
0.06 0.84 9.836964967794861
0.06 0.86 8.803211068220845
0.06 0.88 7.734714916365135
0.06 0.9 6.635693378389651
0.06 0.92 5.510478036974462
0.06 0.9400000000000001 4.3632012319824405
0.06 0.96 3.191612736676031
0.06 0.98 1.9205851626186916
0.06 1.0 2.2947592712743088E-17
0.07 0.0 0.0
0.07 0.02 0.8809224701041063
0.07 0.04 2.115445628008191
0.07 0.06 3.526565490652761
0.07 0.08 5.00190737360229
0.07 0.1 6.4861446306523325
0.07 0.12 7.9542185078037715
0.07 0.14 9.393760044374906
0.07 0.16 10.7970384578467
0.07 0.18 12.157922607588354
0.07 0.2 13.470880266418144
0.07 0.22 14.730688039383562
0.07 0.24 15.932363707161677
0.07 0.26 17.0711623430779
0.07 0.28 18.142589062081907
0.07 0.3 19.14241530560992
0.07 0.32 20.06669518865708
0.07 0.34 20.911780994924456
0.07 0.36 21.674337555598893
0.07 0.38 22.351355408066066
0.07 0.4 22.94016267211267
0.07 0.42 23.438435594458195
0.07 0.44 23.84420771951549
0.07 0.46 24.15587765008626
0.07 0.48 24.372215367342918
0.07 0.5 24.492367085150732
0.07 0.52 24.515858619571617
0.07 0.54 24.442597260251475
0.07 0.56 24.272872136305608
0.07 0.58 24.0073530752582
0.07 0.6 23.647087959539085
0.07 0.62 23.193498590970528
0.07 0.64 22.648375079564996
0.07 0.66 22.01386877877877
0.07 0.68 21.292483795102694
0.07 0.7000000000000001 20.487067105497893
0.07 0.72 19.600797321678346
0.07 0.74 18.63717214558264
0.07 0.76 17.59999456554236
0.07 0.78 16.493357847624562
0.07 0.8 15.321629381380642
0.07 0.8200000000000001 14.089433443755045
0.07 0.84 12.801632949176806
0.07 0.86 11.46331025785794
0.07 0.88 10.079747118039602
0.07 0.9 8.656403821344789
0.07 0.92 7.198889141617138
0.07 0.9400000000000001 5.712513489126921
0.07 0.96 4.193674777354362
0.07 0.98 2.5389380494687397
0.07 1.0 2.6714842233190424E-17
0.08 0.0 0.0
0.08 0.02 1.0739098708619648
0.08 0.04 2.593414255137308
0.08 0.06 4.341559447933973
0.08 0.08 6.176228650443971
0.08 0.1 8.025580885114836
0.08 0.12 9.85649900768766
0.08 0.14 11.652647414066777
0.08 0.16 13.404011754560894
0.08 0.18 15.102808085927133
0.08 0.2 16.742087528642024
0.08 0.22 18.31531549353012
0.08 0.24 19.81626658604624
0.08 0.26 21.239013174244086
0.08 0.28 22.577939364871494
0.08 0.3 23.827760806824475
0.08 0.32 24.983544976425684
0.08 0.34 26.040730510803492
0.08 0.36 26.995145179336717
0.08 0.38 27.843022342878946
0.08 0.4 28.581015817525483
0.08 0.42 29.20621308016921
0.08 0.44 29.716146762835997
0.08 0.46 30.108804390246142
0.08 0.48 30.382636322132313
0.08 0.5 30.536561868961233
0.08 0.52 30.56997355692146
0.08 0.54 30.482739525344968
0.08 0.56 30.27520404710093
0.08 0.58 29.948186169908055
0.08 0.6 29.502976483927362
0.08 0.62 28.941332028392456
0.08 0.64 28.265469357378386
0.08 0.66 27.47805579207536
0.08 0.68 26.582198894090595
0.08 0.7000000000000001 25.581434201322352
0.08 0.72 24.47971127480709
0.08 0.74 23.28137811160643
0.08 0.76 21.991163985249187
0.08 0.78 20.61416078144932
0.08 0.8 19.15580290275931
0.08 0.8200000000000001 17.621845821466
0.08 0.84 16.01834336537093
0.08 0.86 14.35162382609772
0.08 0.88 12.628264984216147
0.08 0.9 10.855068149747357
0.08 0.92 9.039019548280073
0.08 0.9400000000000001 7.18668985830169
0.08 0.96 5.292842401372607
0.08 0.98 3.221808785494834
0.08 1.0 3.045572742967559E-17
0.09 0.0 0.0
0.09 0.02 1.272840368815128
0.09 0.04 3.0888666161158578
0.09 0.06 5.19014125223476
0.09 0.08 7.403043772230241
0.09 0.1 9.637743909049915
0.09 0.12 11.85214428905962
0.09 0.14 14.025446785702966
0.09 0.16 16.145095923743547
0.09 0.18 18.201508078345995
0.09 0.2 20.18621660858824
0.09 0.22 22.091292795163582
0.09 0.24 23.909193063927308
0.09 0.26 25.6327366753177
0.09 0.28 27.255120054295457
0.09 0.3 28.76994003282163
0.09 0.32 30.17121822548644
0.09 0.34 31.45342440888635
0.09 0.36 32.611498296944056
0.09 0.38 33.640869500229236
0.09 0.4 34.5374755606954
0.09 0.42 35.29777798380468
0.09 0.44 35.91877620323461
0.09 0.46 36.39801942271867
0.09 0.48 36.733616288214655
0.09 0.5 36.92424235221404
0.09 0.52 36.96914530073095
0.09 0.54 36.8681479223418
0.09 0.56 36.621648807557776
0.09 0.58 36.2306207757702
0.09 0.6 35.696607035976825
0.09 0.62 35.021715096440936
0.09 0.64 34.208608447319094
0.09 0.66 33.26049604908227
0.09 0.68 32.181119668214976
0.09 0.7000000000000001 30.974739110172326
0.09 0.72 29.646115407874063
0.09 0.74 28.200492032082714
0.09 0.76 26.643574197820044
0.09 0.78 24.98150634848978
0.09 0.8 23.22084790656666
0.09 0.8200000000000001 21.368547386552628
0.09 0.84 19.43191497236456
0.09 0.86 17.418593667378072
0.09 0.88 15.336529130984928
0.09 0.9 13.193938320705465
0.09 0.92 10.999261606730627
0.09 0.9400000000000001 8.7603913568475
0.09 0.96 6.470212333696495
0.09 0.98 3.9575014720941075
0.09 1.0 3.4166556500152193E-17
0.1 0.0 0.0
0.1 0.02 1.4753955841520334
0.1 0.04 3.595584694533058
0.1 0.06 6.061166239438015
0.1 0.08 8.665807036796144
0.1 0.1 11.300554330674174
0.1 0.12 13.913571127030192
0.1 0.14 16.47916954269459
0.1 0.16 18.98202789904628
0.1 0.18 21.410637843565382
0.1 0.2 23.754933338698407
0.1 0.22 26.005527547764878
0.1 0.24 28.15350221099994
0.1 0.26 30.190370920310013
0.1 0.28 32.10809276043567
0.1 0.3 33.89909879790215
0.1 0.32 35.556320618255086
0.1 0.34 37.0732178938963
0.1 0.36 38.44380411753197
0.1 0.38 39.662670210020664
0.1 0.4 40.72500586342505
0.1 0.42 41.62661852418927
0.1 0.44 42.363949939035095
0.1 0.46 42.93409019771998
0.1 0.48 43.334789217114626
0.1 0.5 43.56446562125136
0.1 0.52 43.622212982292176
0.1 0.54 43.50780339778531
0.1 0.56 43.221688390092055
0.1 0.58 42.764997124434245
0.1 0.6 42.139531952595064
0.1 0.62 41.34776129985987
0.1 0.64 40.39280992326942
0.1 0.66 39.27844657963133
0.1 0.68 38.00906915195876
0.1 0.7000000000000001 36.58968729303536
0.1 0.72 35.02590265460441
0.1 0.74 33.32388678020852
0.1 0.76 31.49035674892688
0.1 0.78 29.532548666132747
0.1 0.8 27.45818910589148
0.1 0.8200000000000001 25.275464617702617
0.1 0.84 22.992989417929074
0.1 0.86 20.619771393420624
0.1 0.88 18.16517655149982
0.1 0.9 15.638892056610008
0.1 0.92 13.05086851634293
0.1 0.9400000000000001 10.410363764612478
0.1 0.96 7.708182941470824
0.1 0.98 4.734849427489626
0.1 1.0 3.78436673043415E-17
0.11 0.0 0.0
0.11 0.02 1.6798219484441095
0.11 0.04 4.108747049890314
0.11 0.06 6.945819014393738
0.11 0.08 9.951232609122231
0.11 0.1 12.996088370493029
0.11 0.12 16.018212186990457
0.11 0.14 18.98667316688846
0.11 0.16 21.883193485520284
0.11 0.18 24.6942364914945
0.11 0.2 27.408072606663083
0.11 0.22 30.0138092475359
0.11 0.24 32.50111274625813
0.11 0.26 34.86015365559712
0.11 0.28 37.08161855550563
0.11 0.3 39.15673950799726
0.11 0.32 41.07732675912653
0.11 0.34 42.835800581724136
0.11 0.36 44.42522107229918
0.11 0.38 45.83931551192203
0.11 0.4 47.07250311535353
0.11 0.42 48.11991705439989
0.11 0.44 48.97742366473776
0.11 0.46 49.641638759528654
0.11 0.48 50.10994098524341
0.11 0.5 50.380482166943885
0.11 0.52 50.45219460218437
0.11 0.54 50.32479527474524
0.11 0.56 49.99878697156872
0.11 0.58 49.475456298488375
0.11 0.6 48.75686860258384
0.11 0.62 47.84585982119934
0.11 0.64 46.74602528979469
0.11 0.66 45.46170555279872
0.11 0.68 43.997969233463515
0.11 0.7000000000000001 42.36059303032396
0.11 0.72 40.556038919207815
0.11 0.74 38.5914286507693
0.11 0.76 36.47451564419289
0.11 0.78 34.213654387989976
0.11 0.8 31.817767468649528
0.11 0.8200000000000001 29.296310357265586
0.11 0.84 26.659234093112595
0.11 0.86 23.916946011439613
0.11 0.88 21.080268670472755
0.11 0.9 18.16039713972221
0.11 0.92 15.168831046059614
0.11 0.9400000000000001 12.116222969467664
0.11 0.96 8.991139527487439
0.11 0.98 5.543743063223048
0.11 1.0 4.148343097782275E-17
0.12 0.0 0.0
0.12 0.02 1.884815291666437
0.12 0.04 4.6246934184924395
0.12 0.06 7.837290553697331
0.12 0.08 11.248919083750415
0.12 0.1 14.710172146722494
0.12 0.12 18.148090972519327
0.12 0.14 21.526221694367184
0.12 0.16 24.823175875875556
0.12 0.18 28.023305465242316
